Date,Study Duration (hours),Study Location,Time of Study,Productivity Level
12/8/2024,5.1,Indoors (Library),Afternoon (12 PM- 6 PM),1
12/13/2024,3.8,Indoors (Dorm),Night (12 AM- 6 AM),8
12/12/2024,2.2,Indoors (Dorm),Morning (6 AM- 12 PM),3
12/9/2024,1.6,Other,Evening (6 PM- 12 AM),10
12/13/2024,2.4,Other,Night (12 AM- 6 AM),2
12/11/2024,1.5,Other,Night (12 AM- 6 AM),10
12/13/2024,5,Indoors (Library),Afternoon (12 PM- 6 PM),1
12/8/2024,5.1,Indoors (Dorm),Afternoon (12 PM- 6 PM),9
12/13/2024,3.7,Other,Morning (6 AM- 12 PM),6
12/14/2024,4,Indoors (Dorm),Afternoon (12 PM- 6 PM),7
12/13/2024,3,Indoors (Dorm),Afternoon (12 PM- 6 PM),4
12/12/2024,3.4,Other,Morning (6 AM- 12 PM),9
12/10/2024,2.3,Other,Morning (6 AM- 12 PM),4
12/8/2024,7.5,Indoors (Dorm),Afternoon (12 PM- 6 PM),5
12/10/2024,4.6,Indoors (Dorm),Night (12 AM- 6 AM),10
12/10/2024,0.6,Other,Morning (6 AM- 12 PM),2
12/8/2024,1.7,Indoors (Dorm),Morning (6 AM- 12 PM),3
12/12/2024,7.1,Indoors (Library),Evening (6 PM- 12 AM),6
12/12/2024,2.1,Indoors (Library),Evening (6 PM- 12 AM),4
12/8/2024,0.7,Indoors (Library),Evening (6 PM- 12 AM),9
